timestamp,attack_rate
2017-01-27,1
2017-01-28,247
2017-01-29,170
2017-01-30,40
2017-01-31,2
2017-02-01,56
2017-02-02,90
2017-02-03,43
2017-02-04,108
2017-02-05,198
2017-02-06,368
2017-02-07,226
2017-02-08,504
2017-02-09,143
2017-02-10,68
2017-02-11,72
2017-02-12,46
2017-02-13,54
2017-02-14,86
2017-02-15,226
2017-02-16,187
2017-02-17,123
2017-02-18,191
2017-02-19,138
2017-02-20,424
2017-02-21,304
2017-02-22,235
2017-02-23,132
2017-02-24,240
2017-02-25,515
2017-02-26,381
2017-02-27,292
2017-02-28,268
2017-03-01,405
2017-03-02,225
2017-03-03,160
2017-03-04,218
2017-03-05,285
2017-03-06,334
2017-03-07,364
2017-03-08,585
2017-03-09,354
2017-03-10,270
2017-03-11,270
2017-03-12,318
2017-03-13,746
2017-03-14,187
2017-03-15,249
2017-03-16,227
2017-03-17,217
2017-03-18,120
2017-03-19,96
2017-03-20,47
2017-03-21,38
2017-03-22,90
2017-03-23,140
2017-03-24,84
2017-03-25,60
2017-03-26,171
2017-03-27,136
2017-03-28,116
2017-03-29,97
2017-03-30,104
2017-03-31,60
2017-04-01,121
2017-04-02,63
2017-04-03,90
2017-04-04,144
2017-04-05,37
2017-04-06,5
2017-04-07,108
2017-04-08,168
2017-04-09,64
2017-04-10,82
2017-04-11,51
2017-04-12,135
2017-04-13,115
2017-04-14,177
2017-04-15,163
2017-04-16,50
2017-04-17,103
2017-04-18,212
2017-04-19,110
2017-04-20,231
2017-04-21,226
2017-04-22,0
2017-04-23,123
2017-04-24,140
2017-04-25,0
2017-04-26,0
2017-04-27,0
2017-04-28,0
2017-04-29,0
2017-04-30,0
2017-05-01,0
2017-05-02,0
2017-05-03,0
2017-05-04,0
2017-05-05,0
2017-05-06,0
2017-05-07,0
2017-05-08,0
2017-05-09,0
2017-05-10,0
2017-05-11,72
2017-05-12,228
2017-05-13,126
2017-05-14,78
2017-05-15,106
2017-05-16,171
2017-05-17,194
2017-05-18,128
2017-05-19,162
2017-05-20,73
2017-05-21,126
2017-05-22,125
2017-05-23,140
2017-05-24,68
2017-05-25,60
2017-05-26,121
2017-05-27,86
2017-05-28,64
2017-05-29,14
2017-05-30,31
2017-05-31,42
2017-06-01,14
2017-06-02,0
2017-06-03,0
2017-06-04,0
2017-06-05,0
2017-06-06,0
2017-06-07,0
2017-06-08,0
2017-06-09,0
2017-06-10,0
2017-06-11,0
2017-06-12,0
2017-06-13,0
2017-06-14,0
2017-06-15,0
2017-06-16,0
2017-06-17,0
2017-06-18,0
2017-06-19,0
2017-06-20,0
2017-06-21,0
2017-06-22,0
2017-06-23,0
2017-06-24,0
2017-06-25,0
2017-06-26,0
2017-06-27,0
2017-06-28,0
2017-06-29,0
2017-06-30,0
2017-07-01,0
2017-07-02,0
2017-07-03,0
2017-07-04,0
2017-07-05,0
2017-07-06,0
2017-07-07,0
2017-07-08,0
2017-07-09,0
2017-07-10,0
2017-07-11,0
2017-07-12,0
2017-07-13,0
2017-07-14,0
2017-07-15,0
2017-07-16,0
2017-07-17,0
2017-07-18,0
2017-07-19,0
2017-07-20,0
2017-07-21,0
2017-07-22,0
2017-07-23,0
2017-07-24,0
2017-07-25,0
2017-07-26,0
2017-07-27,0
2017-07-28,0
2017-07-29,0
2017-07-30,0
2017-07-31,0
2017-08-01,0
2017-08-02,0
2017-08-03,0
2017-08-04,0
2017-08-05,0
2017-08-06,0
2017-08-07,0
2017-08-08,0
2017-08-09,0
2017-08-10,72
2017-08-11,51
2017-08-12,56
2017-08-13,64
2017-08-14,95
2017-08-15,33
2017-08-16,72
2017-08-17,0
2017-08-18,0
2017-08-19,0
2017-08-20,0
2017-08-21,0
2017-08-22,0
2017-08-23,0
2017-08-24,0
2017-08-25,0
2017-08-26,0
2017-08-27,0
2017-08-28,0
2017-08-29,0
2017-08-30,0
2017-08-31,0
2017-09-01,0
2017-09-02,0
2017-09-03,0
2017-09-04,0
2017-09-05,0
2017-09-06,0
2017-09-07,0
2017-09-08,406
2017-09-09,254
2017-09-10,267
2017-09-11,1178
2017-09-12,2067
2017-09-13,464
2017-09-14,2143
2017-09-15,889
2017-09-16,0
2017-09-17,0
2017-09-18,0
2017-09-19,379
2017-09-20,1130
2017-09-21,1313
2017-09-22,1451
2017-09-23,2597
2017-09-24,2310
2017-09-25,1378
2017-09-26,2035
2017-09-27,2245
2017-09-28,1718
2017-09-29,1633
2017-09-30,1346
2017-10-01,794
2017-10-02,588
